,Distance,Duration,Ad1,Ad2
246,68.5 km,44 mins,5+Forge+Parkway+Franklin+MA,31+Central+Ave+Ayer+MA
247,93.2 km,1 hour 6 mins,640+Lincoln+Street+Worcester+MA,68+Tenney+St+Georgetown+MA
248,16.1 km,14 mins,640+Lincoln+Street+Worcester+MA,266+North+Main+Street+Millbury+MA
249,4.6 km,7 mins,640+Lincoln+Street+Worcester+MA,65+Pullman+Street+Worcester+MA
250,7.9 km,11 mins,640+Lincoln+Street+Worcester+MA,65+West+Boylston+Street+W+Boylston+MA
251,27.0 km,26 mins,640+Lincoln+Street+Worcester+MA,416+Boston+Post+Road+Marlborough+MA
252,98.6 km,1 hour 12 mins,640+Lincoln+Street+Worcester+MA,116+Newburyport+Turnpike+Rowley+MA
253,131 km,1 hour 22 mins,640+Lincoln+Street+Worcester+MA,38+Great+Republic+Drive+Gloucester+MA
254,99.0 km,1 hour 12 mins,640+Lincoln+Street+Worcester+MA,300+Newburyport+Turnpike+Rowley+MA
255,105 km,1 hour 8 mins,640+Lincoln+Street+Worcester+MA,50+Grove+St+Salem+MA
256,105 km,1 hour 4 mins,640+Lincoln+Street+Worcester+MA,49+Macy+St+Amesbury+MA
257,108 km,1 hour 5 mins,640+Lincoln+Street+Worcester+MA,107+Elm+St+Salisbury+MA
258,106 km,1 hour 13 mins,640+Lincoln+Street+Worcester+MA,3+Dodge+Street+Salem+MA
259,53.5 km,35 mins,640+Lincoln+Street+Worcester+MA,5+Forge+Parkway+Franklin+MA
260,1 m,1 min,640+Lincoln+Street+Worcester+MA,640+Lincoln+Street+Worcester+MA
261,70.8 km,48 mins,640+Lincoln+Street+Worcester+MA,541+Massachusetts+Ave+Cambridge+MA
262,33.7 km,24 mins,640+Lincoln+Street+Worcester+MA,640+Douglas+St+Uxbridge+MA
263,107 km,1 hour 12 mins,640+Lincoln+Street+Worcester+MA,462+Highland+Ave+Salem+MA
